"SEASON","DATE","HOME","HPTS","H2PM","H2PA","H3PM","H3PA","HFTM","HFTA","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","AWAY","APTS","A2PM","A2PA","A3PM","A3PA","AFTM","AFTA","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF"
"2014-15",20150510,"LAC",128,26,48,13,31,37,63,10,41,27,9,10,5,22,"HOU",95,22,55,12,28,15,30,10,37,20,6,18,1,40
"2014-15",20150511,"MEM",84,29,70,4,18,14,18,17,32,24,8,16,4,17,"GSW",101,24,47,14,33,11,16,10,35,22,11,21,10,23
"2014-15",20150511,"WAS",101,26,59,12,26,13,17,10,31,21,5,16,8,19,"ATL",106,32,68,9,19,15,19,10,27,30,8,13,5,20
"2014-15",20150512,"CLE",106,32,55,8,24,18,25,11,30,19,5,11,12,22,"CHI",101,27,61,7,25,26,28,12,28,20,5,8,5,23
"2014-15",20150512,"HOU",124,37,56,9,29,23,38,15,43,29,5,11,3,24,"LAC",103,29,56,9,35,18,31,13,26,22,6,7,2,27
"2014-15",20150513,"ATL",82,29,61,5,22,9,11,13,37,21,11,23,13,17,"WAS",81,29,71,4,17,11,16,13,33,20,15,19,5,17
"2014-15",20150513,"GSW",98,24,51,14,30,8,10,14,30,28,9,16,6,13,"MEM",78,29,68,4,15,8,10,13,30,21,8,16,1,17
"2014-15",20150514,"CHI",73,26,60,4,20,9,10,9,23,17,5,7,6,18,"CLE",94,21,52,12,27,16,20,16,37,20,3,11,8,16
"2014-15",20150514,"LAC",107,31,61,7,30,24,32,4,37,19,8,8,7,31,"HOU",119,24,55,13,32,32,47,15,45,19,8,9,5,22
"2014-15",20150515,"MEM",95,30,75,4,16,23,30,12,31,21,7,3,5,16,"GSW",108,26,49,15,32,11,14,7,40,27,1,12,8,24
"2014-15",20150515,"WAS",91,30,75,4,18,19,25,18,37,19,7,11,4,18,"ATL",94,28,57,8,27,14,19,12,35,20,8,15,6,22
"2014-15",20150517,"HOU",113,23,48,12,30,31,41,4,36,22,11,16,4,21,"LAC",100,34,64,7,28,11,17,15,33,23,10,18,9,32
"2014-15",20150519,"GSW",110,33,63,10,29,14,22,14,29,27,9,12,3,23,"HOU",106,32,64,8,22,18,28,14,33,27,8,15,6,19
"2014-15",20150520,"ATL",89,30,54,4,23,17,23,7,30,19,6,12,3,21,"CLE",97,27,58,10,26,13,20,12,37,20,4,12,4,19
"2014-15",20150521,"GSW",99,33,53,8,24,9,13,7,32,31,7,16,8,17,"HOU",98,32,61,7,23,13,19,11,28,20,10,10,5,18
"2014-15",20150522,"ATL",82,27,53,6,26,10,13,7,32,15,7,11,3,19,"CLE",94,21,46,12,30,16,26,11,36,17,6,12,4,14
"2014-15",20150523,"HOU",80,23,58,5,25,19,31,9,30,15,7,15,4,19,"GSW",115,33,69,11,28,16,20,17,43,26,9,13,6,27
"2014-15",20150524,"CLE",114,26,61,14,36,20,29,19,37,24,3,13,6,24,"ATL",111,25,58,11,30,28,32,6,36,20,9,7,3,25
"2014-15",20150525,"HOU",128,26,44,17,32,25,43,4,42,22,8,16,10,16,"GSW",115,24,51,20,46,7,13,10,37,26,9,15,9,29
"2014-15",20150526,"CLE",118,30,56,13,31,19,30,13,43,23,5,10,7,18,"ATL",88,31,53,5,32,11,18,7,32,22,4,7,3,20
"2014-15",20150527,"GSW",104,28,62,9,29,21,31,19,40,25,10,16,4,30,"HOU",90,21,50,5,24,33,44,10,29,16,12,20,6,26
